Product Name,Description,Image Link,Price,Rating,Store
"[NEW LAUNCH] vivo V50 Lite 4G (8/128) Borderless Immersive Screen, Sony IMX882, 6500mAh Battery+90W Flashcharge, AI Erase 2.0, All-round Impact Resistance",,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/db9877a8a7b44222ac7ae05634b98eab~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=9uQOCroL4lQNUmK1%2FaLqs%2BMSfik%3D&x-signature-webp=G7KX55eWjWPt2hJnEgzeH7wO7lE%3D,Rp3.299.000,4.9,vivo Indonesia
vivo y20s ram 8+256 GB Bergaransi Smartphone Kamera,,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2024/6/5/be1e925e-29d3-42e2-ab7f-045feac018e9.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=44bnCuP6Zsg2nLaFklPa4iV4dS0%3D&x-signature-webp=ac0cZHwGSjCPZXTAYZbeAyYEvik%3D,Rp1.199.000,4.5,566store
ZTE NUBIA V80 Max 6GB/128GB 8GB/128GB - Garansi Resmi Nasional,,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/313bc906d210469a929873014d573026~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=9hQTxbe0pUIs%2Bc4OCCAJihlZZ2s%3D&x-signature-webp=q8wctVyE8FrK2y3DEBR5BprlCD8%3D,Rp2.299.000,4.9,indahponseltamora
[ Mega Deals ] Xiaomi Poco C71 4/128GB Black Blue Gold Garansi Resmi - Original HP Baru Murah - [Digitech MallxCreator],,https://p19-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/d1605b46710547af950834cea798e609~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=5M%2FXu05Rh5od7lhgBKtvubfDfCQ%3D&x-signature-webp=6EU4mkhJ8ki6CfEY4i43qlvfrtM%3D,Rp1.692.000,4.9,Digitech Mall
Infinix Smart 20 4/64GB - Up to 8GB Extended RAM - Mediatek Helio G81 - 6.78” - 8MP - 5200 mAh - IP64,,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/3cf5f74fc73747589492362082ab7d4b~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=dO2qToJnAtU7UNbt8vF2nxXxf0o%3D&x-signature-webp=P2h6U3yEzhVTpSiN%2Fk32yW68LCA%3D,Rp1.759.000,5.0,Modern Selular
ZTE NUBIA A36 4+8GB/64 GARANSI RESMI - SMARTPHONE/PONSEL,,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/dffe6bd52eb24f5f84f6505266a901c2~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=ghQOjbMY7vTz773Kzoy0zETFab8%3D&x-signature-webp=mTBeEHGRmHht4WalERFluclWQfw%3D,Rp1.624.000,4.9,Mahkota Accessories
"Handphone nubia A56 ROM 128GB RAM 12GB (4+8GB) Smartphone Kamera AI 13MP Triple Camera Layar 6.75"" 90Hz, Baterai 5000mAh Fast Charging",,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/6c346825cee249fb85629bbfe7ab9ab0~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=oDiZaHphMlTp9WkWQxfWtA6%2FZf4%3D&x-signature-webp=CkY3ei3SLW0wqLDNPdxa8TpSLxQ%3D,Rp2.049.000,4.9,nubia Indonesia
XIAOMI REDMI 6A 2GB RAM 16GB INTERNAL GARANSI RESMI TAM,,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2021/11/18/74caba12-b48e-4779-a4a4-8d4236795660.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=wYT%2Bml337bTpmzNQQLJe3OuXFXY%3D&x-signature-webp=ddt%2Bz53lHp31Eqltqsky0eaLgfk%3D,Rp1.399.000,4.9,NenaStore_NEW
New Infinix Hot 30 NFC 8+8/128 GB Garansi Resmi 2023 30i note pro 5g,,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2023/7/16/e08bf277-f4b3-42a7-9f0d-7fcb41926d29.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=3NSUJBcShxg951Dd%2FlyWENzCeCw%3D&x-signature-webp=PX85rzZyD13oGxyl5uKopiNhG8Y%3D,Rp2.099.000,5.0,Zeil store
Infinix Note 60 8/256GB - Up to 16GB Extended RAM - Dimensity 7400 Ultimate - 6.78” 1.5K Amoled - 50MP - 6500 mAh - NFC,,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/618aa62d32364f0a866d9546d574071c~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=IzhV7VhNcszYEa%2FkZTlPIpF%2B028%3D&x-signature-webp=nsUVn5vn55%2FDdbWy7VJSD0oVPXs%3D,Rp4.699.000,4.9,Infinix Indonesia
